name,artist_type,award,year,award_details,production,egot_year
Andrew Lloyd Webber,Composer/Producer,grammy,1980,Best Cast Show Album,Evita,2018
Andrew Lloyd Webber,Composer/Producer,tony,1980,Best Original Score,Evita,2018
Andrew Lloyd Webber,Composer/Producer,oscar,1996,Best Original Song,You Must Love Me from Evita,2018
Andrew Lloyd Webber,Composer/Producer,emmy,2018,Outstanding Variety Special (Live),Jesus Christ Superstar Live in Concert,2018
Audrey Hepburn,Actress,oscar,1953,Best Actress in a Leading Role,Roman Holiday,1994
Audrey Hepburn,Actress,tony,1954,Best Actress in a Play,Ondine,1994
Audrey Hepburn,Actress,emmy,1993,"Outstanding Individual Achievement, Informational Programming",Gardens of the World with Audrey Hepburn,1994
Audrey Hepburn,Actress,grammy,1994,Best Spoken Word Album for Children,Audrey Hepburn's Enchanted Tales,1994
Helen Hayes,Actress,oscar,1932,Best Actress in a Leading Role,The Sin of Madelon Claudet,1977
Helen Hayes,Actress,tony,1947,"Best Actress, Dramatic",Happy Birthday,1977
Helen Hayes,Actress,emmy,1953,Best Actress,"Schlitz Playhouse of Stars for the episode ""Not a Chance""",1977
Helen Hayes,Actress,grammy,1977,Best Spoken Word Recording,Great American Documents,1977
Hugh Jackman,Actor/Singer,tony,2004,Best Actor in a Musical,The Boy from Oz,
Hugh Jackman,Actor/Singer,emmy,2005,Outstanding Individual Performance in a Variety or Music Program,58th Tony Awards,
Hugh Jackman,Actor/Singer,grammy,2019,Best Compilation Soundtrack for Visual Media,The Greatest Showman,
John Gielgud,Actor/Director,tony,1961,Outstanding Foreign Company,The Importance of Being Earnest,1991
John Gielgud,Actor/Director,grammy,1979,"Best Spoken Word, Documentary or Drama Recording",Ages of Man,1991
John Gielgud,Actor/Director,oscar,1981,Best Actor in a Supporting Role,Arthur,1991
John Gielgud,Actor/Director,emmy,1991,Outstanding Lead Actor in a Miniseries or Special,Summer's Lease,1991
John Legend,Singer/Composer/Producer,grammy,2006,Best R&B Album,Get Lifted,2018
John Legend,Singer/Composer/Producer,oscar,2015,Best Original Song,Glory from Selma,2018
John Legend,Singer/Composer/Producer,tony,2017,Best Revival of a Play,Jitney,2018
John Legend,Singer/Composer/Producer,emmy,2018,Outstanding Variety Special (Live),Jesus Christ Superstar Live in Concert,2018
Jonathan Tunick,Composer/Conductor,oscar,1977,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score ",A Little Night Music,1997
Jonathan Tunick,Composer/Conductor,emmy,1982,Outstanding Achievement in Music Direction,Night of 100 Stars,1997
Jonathan Tunick,Composer/Conductor,grammy,1988,Best Instrumental Arrangement Accompanying Vocals,"No One is Alone, Cleo Laine",1997
Jonathan Tunick,Composer/Conductor,tony,1997,Best Orchestrations,Titanic,1997
Marvin Hamlisch,Composer,oscar,1973,"Best Music, Original Dramatic Score",The Way We Were,1995
Marvin Hamlisch,Composer,grammy,1974,Song of the Year,The Way We Were,1995
Marvin Hamlisch,Composer,tony,1976,Best Musical Score,A Chorus Line,1995
Marvin Hamlisch,Composer,emmy,1995,Outstanding Individual Achievement in Music Direction,Barbra: The Concert,1995
Mel Brooks,Writer/Composer/Actor,emmy,1967,Outstanding Writing Achievement in Variety,"The Sid Caesar, Imogene Coca, Carl Reiner, Howard Morris Special",2001
Mel Brooks,Writer/Composer/Actor,oscar,1968,Best Writing (Screenplay Written Directly for the Screen),The Producers,2001
Mel Brooks,Writer/Composer/Actor,grammy,1998,Best Spoken Comedy Album,The 2000 Year Old Man in the Year 2000,2001
Mel Brooks,Writer/Composer/Actor,tony,2001,Best Book of a Musical,The Producers,2001
Mike Nichols,Director/Comedian,grammy,1961,Best Comedy Performance,An Evening with Mike Nichols and Elaine May,2001
Mike Nichols,Director/Comedian,tony,1964,"Best Director, Dramatic ",Barefoot in the Park,2001
Mike Nichols,Director/Comedian,oscar,1967,Best Director,The Graduate,2001
Mike Nichols,Director/Comedian,emmy,2001,"Outstanding Directing for a Miniseries, Movie or a Special",Wit,2001
Richard Rodgers,Composer,oscar,1945,Best Song,It Might as Well Be Spring from State Fair,1962
Richard Rodgers,Composer,tony,1950,Best Musical,South Pacific,1962
Richard Rodgers,Composer,grammy,1960,Best Show Album (Original Cast),The Sound of Music,1962
Richard Rodgers,Composer,emmy,1962,Outstanding Achievement in Original Music Composed,Winston Churchill: The Valiant Years,1962
Rita Moreno,Actress/Singer,oscar,1961,Best Actress in a Supporting Role,West Side Story,1977
Rita Moreno,Actress/Singer,grammy,1972,Best Recording for Children,The Electric Company,1977
Rita Moreno,Actress/Singer,tony,1975,Best Featured or Supporting Actress in a Play,The Ritz,1977
Rita Moreno,Actress/Singer,emmy,1977,Outstanding Continuing or Single Performance by a Supporting Actress in Variety or Music,The Muppet Show,1977
Robert Lopez,Composer,tony,2004,Best Original Score,Avenue Q,2014
Robert Lopez,Composer,emmy,2008,Outstanding Achievement in Music Direction and Composition,Wonder Pets,2014
Robert Lopez,Composer,grammy,2012,Best Musical Theater Album,The Book of Mormon: Original Broadway Cast Recording,2014
Robert Lopez,Composer,oscar,2014,Best Original Song,Let It Go from Frozen,2014
Scott Rudin,Producer,emmy,1984,Outstanding Children's Program,He Makes Me Feel Like Dancin',2012
Scott Rudin,Producer,tony,1994,Best Musical,Passion,2012
Scott Rudin,Producer,oscar,2008,Best Picture,No Country For Old Men,2012
Scott Rudin,Producer,grammy,2012,Best Musical Theater Album,The Book of Mormon: Original Broadway Cast Recording,2012
Tim Rice,Lyricist/Producer,grammy,1980,Best Cast Show Album,Evita,2018
Tim Rice,Lyricist/Producer,tony,1980,Best Original Score,Evita,2018
Tim Rice,Lyricist/Producer,oscar,1993,Best Original Song,A Whole New World from Aladdin,2018
Tim Rice,Lyricist/Producer,emmy,2018,Outstanding Variety Special (Live),Jesus Christ Superstar Live in Concert,2018
Whoopi Goldberg,Comedian/Actress/Host,grammy,1986,Best Comedy Recording,Whoopi Goldberg: Original Broadway Show Recording,2002
Whoopi Goldberg,Comedian/Actress/Host,oscar,1991,Best Actress in a Supporting Role,Ghost,2002
Whoopi Goldberg,Comedian/Actress/Host,emmy,2002,Outstanding Special Class Special,Beyond Tara: The Extraordinary Life of Hattie McDaniel (Host),2002
Whoopi Goldberg,Comedian/Actress/Host,tony,2002,Best Musical,Thoroughly Modern Millie,2002
