age,body_type,diet,diet_intensity,drinks,drugs,education_type,education_progress,ethnicity,height,income,job,offspring,has_kids,orientation,religion,religion_intensity,sex,sign,sign_intensity,smokes,speaks,status,has_dogs,has_cats,likes_dogs,likes_cats
32,fit,anything,strictly,socially,never,college/university,graduated from,"white, other",65,NA,NA,NA,NA,straight,NA,NA,female,virgo,NA,NA,english,single,FALSE,FALSE,TRUE,TRUE
23,fit,vegetarian,mostly,not at all,sometimes,college/university,working on,white,67,20000,student,NA,NA,straight,other,NA,male,sagittarius,it's fun to think about,yes,english,single,FALSE,FALSE,TRUE,TRUE
23,skinny,anything,mostly,often,never,space camp,graduated from,white,65,NA,other,"doesn't have kids, but might want them",FALSE,gay,NA,NA,male,cancer,it's fun to think about,no,english,single,FALSE,FALSE,TRUE,TRUE
26,athletic,anything,mostly,socially,never,masters program,graduated from,asian,68,NA,other,"doesn't have kids, but might want them",FALSE,straight,agnosticism,NA,male,aquarius,it doesn't matter,no,english (fluently),single,TRUE,FALSE,TRUE,NA
19,fit,anything,mostly,often,sometimes,college/university,working on,"asian, black, native american, white",69,NA,other,NA,NA,gay,agnosticism,laughing,female,leo,it's fun to think about,yes,"english (fluently), french (okay), spanish (okay), italian (okay), japanese (poorly)",single,FALSE,TRUE,NA,TRUE
30,NA,NA,NA,socially,never,college/university,working on,"asian, hispanic / latin",70,NA,construction / craftsmanship,NA,NA,straight,agnosticism,not too serious,male,aries,it doesn't matter,no,"english (fluently), spanish (poorly), japanese (poorly)",seeing someone,FALSE,FALSE,TRUE,TRUE
27,fit,anything,mostly,socially,never,college/university,graduated from,asian,69,NA,NA,doesn't have kids,FALSE,straight,NA,NA,male,NA,NA,no,english,single,NA,NA,NA,NA
24,fit,NA,NA,socially,never,college/university,graduated from,white,68,NA,sales / marketing / biz dev,NA,NA,straight,catholicism,not too serious,female,scorpio,it doesn't matter,no,"english (fluently), spanish (okay)",single,FALSE,FALSE,TRUE,NA
32,fit,NA,NA,socially,never,college/university,graduated from,white,72,NA,banking / financial / real estate,doesn't have kids,FALSE,straight,NA,NA,male,cancer,NA,no,english,single,NA,NA,NA,NA
29,average,NA,NA,socially,NA,college/university,graduated from,NA,74,30000,hospitality / travel,NA,NA,gay,agnosticism,not too serious,male,pisces,it's fun to think about,trying to quit,"english (fluently), spanish (okay)",single,FALSE,FALSE,NA,TRUE
26,fit,NA,NA,often,NA,college/university,graduated from,white,67,NA,NA,NA,NA,straight,atheism,very serious,male,scorpio,it doesn't matter,when drinking,"english, spanish (okay), portuguese (okay)",single,FALSE,FALSE,TRUE,FALSE
34,thin,anything,mostly,socially,never,med school,graduated from,white,66,NA,medicine / health,NA,NA,straight,agnosticism,laughing,female,leo,it doesn't matter,no,english (fluently),single,FALSE,TRUE,TRUE,TRUE
39,athletic,anything,mostly,socially,never,college/university,graduated from,black,72,100000,science / tech / engineering,NA,NA,straight,catholicism,not too serious,male,virgo,it's fun to think about,no,"english (fluently), spanish (poorly), portuguese (poorly)",single,FALSE,FALSE,TRUE,TRUE
26,average,vegan,strictly,socially,never,college/university,graduated from,white,64,NA,medicine / health,"doesn't have kids, but might want them",FALSE,straight,christianity,NA,female,cancer,it doesn't matter,no,"english (fluently), spanish (poorly), french (poorly)",single,TRUE,FALSE,TRUE,NA
22,average,vegetarian,NA,socially,never,college/university,graduated from,indian,67,NA,sales / marketing / biz dev,NA,NA,straight,hinduism,laughing,male,NA,NA,no,"english, spanish, russian, hindi",single,NA,NA,NA,NA
28,fit,vegetarian,mostly,socially,NA,college/university,graduated from,white,63,NA,sales / marketing / biz dev,NA,NA,straight,NA,NA,female,taurus,NA,no,english,single,FALSE,FALSE,TRUE,NA
24,NA,anything,NA,socially,NA,two-year college,working on,"black, white, other",69,NA,student,NA,NA,straight,NA,NA,male,aquarius,NA,sometimes,english,single,FALSE,FALSE,TRUE,TRUE
27,athletic,anything,mostly,socially,never,NA,NA,"white, other",70,NA,entertainment / media,"doesn't have kids, but might want them",FALSE,straight,atheism,NA,male,NA,NA,no,"english (fluently), other (fluently)",single,TRUE,TRUE,TRUE,TRUE
25,athletic,anything,strictly,socially,never,college/university,graduated from,white,68,NA,NA,doesn't have kids,FALSE,straight,atheism,not too serious,male,gemini,it doesn't matter,no,english (fluently),single,FALSE,FALSE,TRUE,TRUE
23,skinny,NA,NA,socially,never,college/university,graduated from,white,69,NA,sales / marketing / biz dev,NA,NA,gay,NA,NA,male,aries,it's fun to think about,no,"english (fluently), french (fluently)",single,NA,NA,NA,NA
29,NA,NA,NA,socially,NA,college/university,working on,white,73,NA,entertainment / media,NA,NA,straight,NA,NA,male,taurus,it doesn't matter,no,"english, french (okay), spanish (poorly)",seeing someone,FALSE,FALSE,TRUE,NA
35,thin,NA,NA,not at all,never,two-year college,working on,white,63,NA,student,has a kid,TRUE,straight,christianity,NA,female,sagittarius,it's fun to think about,trying to quit,english (fluently),single,FALSE,FALSE,NA,TRUE
27,overweight,anything,mostly,socially,NA,dropped out of college/university,NA,white,67,NA,hospitality / travel,NA,NA,straight,agnosticism,laughing,male,libra,it's fun to think about,when drinking,"english (fluently), spanish (poorly)",single,FALSE,FALSE,TRUE,TRUE
22,skinny,anything,NA,socially,sometimes,college/university,graduated from,white,69,NA,science / tech / engineering,NA,NA,straight,atheism,NA,male,leo,it doesn't matter,no,"english (fluently), japanese (poorly)",single,FALSE,FALSE,TRUE,TRUE
25,fit,anything,strictly,socially,NA,college/university,graduated from,white,72,NA,other,NA,NA,straight,NA,NA,male,aries,it doesn't matter,no,english,single,NA,NA,NA,NA
31,fit,anything,NA,NA,never,masters program,graduated from,NA,67,NA,sales / marketing / biz dev,doesn't have kids,FALSE,straight,NA,NA,female,aries,it's fun to think about,no,"english, swedish",single,NA,NA,NA,NA
32,average,anything,strictly,socially,NA,college/university,graduated from,white,71,NA,entertainment / media,NA,NA,straight,atheism,NA,male,NA,NA,no,"english, spanish (poorly), irish (okay)",single,NA,NA,NA,NA
43,a little extra,anything,strictly,socially,never,college/university,graduated from,hispanic / latin,65,100000,political / government,NA,NA,straight,atheism,laughing,male,libra,it doesn't matter,no,"english (fluently), spanish (fluently)",single,FALSE,FALSE,TRUE,TRUE
39,curvy,anything,mostly,socially,never,college/university,graduated from,NA,64,NA,computer / hardware / software,doesn't have kids,FALSE,gay,NA,NA,female,NA,NA,no,english,single,FALSE,FALSE,TRUE,TRUE
41,NA,NA,NA,socially,never,two-year college,graduated from,"native american, hispanic / latin, white",71,NA,sales / marketing / biz dev,NA,NA,straight,other,not too serious,male,gemini,it doesn't matter,no,english (fluently),single,FALSE,FALSE,TRUE,TRUE
27,fit,vegetarian,mostly,NA,NA,masters program,graduated from,"native american, pacific islander, hispanic / latin",65,NA,banking / financial / real estate,NA,NA,straight,buddhism,NA,female,NA,NA,NA,"english (fluently), japanese (okay), spanish (fluently), czech (poorly)",single,FALSE,FALSE,TRUE,NA
22,skinny,anything,strictly,socially,NA,college/university,graduated from,white,72,NA,computer / hardware / software,doesn't have kids,FALSE,straight,NA,NA,male,NA,NA,no,"english (fluently), c++ (fluently)",single,FALSE,FALSE,TRUE,TRUE
28,average,anything,mostly,socially,never,college/university,graduated from,"asian, white",66,40000,other,"doesn't have kids, but might want them",FALSE,straight,other,NA,male,NA,NA,no,english (fluently),single,FALSE,FALSE,TRUE,NA
27,average,anything,NA,socially,sometimes,college/university,graduated from,white,70,150000,executive / management,NA,NA,straight,NA,NA,male,NA,NA,no,"english, spanish (okay)",single,FALSE,FALSE,TRUE,FALSE
26,jacked,anything,strictly,not at all,never,college/university,graduated from,white,66,NA,student,doesn't have kids,FALSE,bisexual,NA,NA,female,cancer,NA,no,english (poorly),seeing someone,TRUE,FALSE,TRUE,TRUE
33,fit,anything,strictly,socially,NA,NA,NA,white,74,NA,NA,NA,NA,straight,NA,NA,male,NA,NA,no,"english, spanish (poorly)",single,FALSE,FALSE,TRUE,TRUE
30,average,anything,NA,often,NA,masters program,graduated from,white,68,40000,political / government,NA,NA,straight,NA,NA,male,scorpio,NA,no,english,single,NA,NA,NA,NA
30,athletic,vegetarian,mostly,socially,never,med school,graduated from,other,69,NA,medicine / health,NA,NA,straight,NA,NA,male,aquarius,NA,no,"english (fluently), french (okay)",single,FALSE,FALSE,TRUE,NA
32,athletic,anything,mostly,rarely,never,college/university,graduated from,white,60,NA,medicine / health,NA,NA,straight,atheism,not too serious,female,pisces,it doesn't matter,no,"english, serbian, spanish",single,FALSE,FALSE,TRUE,TRUE
21,a little extra,anything,NA,socially,sometimes,two-year college,working on,"asian, white",64,20000,student,"doesn't have kids, but might want them",FALSE,straight,other,laughing,female,sagittarius,it's fun to think about,yes,"english (fluently), spanish (okay)",single,TRUE,FALSE,TRUE,TRUE
41,a little extra,NA,NA,socially,never,college/university,graduated from,white,74,NA,science / tech / engineering,has kids,TRUE,straight,NA,NA,male,NA,NA,no,english,single,TRUE,TRUE,TRUE,TRUE
69,fit,vegan,mostly,rarely,never,masters program,graduated from,white,65,NA,medicine / health,NA,NA,straight,atheism,laughing,female,NA,NA,no,"english (fluently), french (okay), italian (poorly), german (poorly)",single,FALSE,FALSE,TRUE,TRUE
25,athletic,anything,NA,socially,never,college/university,working on,hispanic / latin,72,NA,other,NA,NA,straight,atheism,NA,male,leo,NA,no,"english (fluently), spanish (fluently), italian (poorly)",single,NA,NA,NA,NA
30,average,anything,mostly,socially,never,college/university,graduated from,white,72,NA,computer / hardware / software,NA,NA,straight,NA,NA,male,aquarius,NA,sometimes,english (poorly),single,NA,NA,NA,NA
41,fit,anything,NA,socially,never,masters program,graduated from,white,69,100000,political / government,NA,NA,straight,agnosticism,not too serious,male,virgo,NA,no,english,single,NA,NA,NA,NA
29,used up,anything,strictly,socially,never,college/university,graduated from,white,67,1000000,medicine / health,NA,NA,straight,catholicism,laughing,male,libra,it doesn't matter,no,"english (okay), latin (poorly)",single,FALSE,FALSE,TRUE,TRUE
23,athletic,anything,mostly,socially,sometimes,dropped out of two-year college,NA,"native american, hispanic / latin, white, other",67,20000,hospitality / travel,"doesn't have kids, and doesn't want any",FALSE,gay,NA,NA,female,cancer,it's fun to think about,sometimes,english (fluently),available,FALSE,FALSE,TRUE,TRUE
21,fit,NA,NA,socially,never,two-year college,working on,black,76,NA,student,"doesn't have kids, but might want them",FALSE,straight,christianity,somewhat serious,male,scorpio,it doesn't matter,no,english (fluently),seeing someone,FALSE,FALSE,TRUE,FALSE
29,curvy,NA,NA,socially,never,two-year college,graduated from,white,66,NA,medicine / health,NA,NA,straight,atheism,laughing,female,sagittarius,it doesn't matter,no,"english, spanish (poorly)",single,TRUE,FALSE,TRUE,NA
26,thin,NA,NA,socially,sometimes,dropped out of college/university,NA,white,70,NA,artistic / musical / writer,NA,NA,straight,other,NA,male,NA,NA,sometimes,english,single,NA,NA,NA,NA
35,fit,anything,mostly,socially,NA,masters program,graduated from,black,70,NA,NA,NA,NA,bisexual,NA,NA,female,NA,NA,sometimes,"english (fluently), spanish (okay), german (poorly)",available,NA,NA,NA,NA
35,fit,NA,NA,rarely,never,college/university,graduated from,asian,64,NA,banking / financial / real estate,NA,NA,straight,NA,NA,female,sagittarius,NA,no,"english, chinese (fluently)",single,TRUE,FALSE,TRUE,NA
22,curvy,NA,NA,often,NA,college/university,graduated from,white,68,NA,science / tech / engineering,NA,NA,straight,atheism,NA,female,NA,NA,no,english,single,NA,NA,NA,NA
23,athletic,anything,mostly,socially,never,college/university,graduated from,black,61,NA,other,doesn't have kids,FALSE,straight,christianity,NA,female,NA,NA,no,"english, spanish (okay)",single,FALSE,FALSE,TRUE,NA
46,average,anything,mostly,socially,sometimes,college/university,working on,white,71,NA,student,NA,NA,straight,other,not too serious,male,pisces,it's fun to think about,yes,english,single,TRUE,FALSE,TRUE,NA
38,thin,NA,NA,often,never,space camp,NA,black,72,NA,other,NA,NA,straight,NA,NA,male,NA,NA,no,"english, c++",single,NA,NA,NA,NA
32,NA,vegetarian,mostly,socially,NA,law school,graduated from,NA,66,NA,law / legal services,NA,NA,straight,agnosticism,very serious,male,aries,NA,no,"english, french (okay), portuguese (okay), spanish (poorly)",single,NA,NA,NA,NA
35,athletic,anything,mostly,socially,never,college/university,graduated from,white,67,NA,NA,NA,NA,straight,buddhism,not too serious,male,NA,NA,no,"english, spanish (okay), indonesian (poorly)",single,NA,NA,NA,NA
33,thin,anything,strictly,rarely,sometimes,college/university,graduated from,white,69,NA,NA,NA,NA,straight,NA,NA,female,gemini,it doesn't matter,sometimes,"english, portuguese, spanish (okay)",seeing someone,NA,NA,NA,NA
26,average,anything,mostly,rarely,NA,college/university,working on,white,73,NA,other,doesn't want kids,FALSE,straight,judaism,not too serious,male,capricorn,it doesn't matter,no,english (fluently),single,FALSE,FALSE,TRUE,TRUE
39,athletic,NA,NA,socially,NA,college/university,graduated from,white,70,NA,computer / hardware / software,NA,NA,straight,agnosticism,laughing,male,cancer,it's fun to think about,no,"english (fluently), italian (poorly)",single,FALSE,FALSE,TRUE,FALSE
31,average,vegetarian,mostly,socially,never,high school,graduated from,hispanic / latin,69,NA,artistic / musical / writer,NA,NA,straight,other,somewhat serious,male,cancer,it matters a lot,no,english (fluently),single,FALSE,FALSE,TRUE,TRUE
26,NA,NA,NA,socially,never,college/university,working on,white,71,NA,other,NA,NA,straight,NA,NA,male,capricorn,it doesn't matter,no,"english, german (poorly)",single,FALSE,FALSE,TRUE,TRUE
35,average,NA,NA,rarely,never,dropped out of space camp,NA,NA,72,NA,construction / craftsmanship,NA,NA,straight,other,NA,male,aries,it's fun to think about,no,english (fluently),single,NA,NA,NA,NA
36,average,anything,NA,socially,never,space camp,graduated from,NA,65,NA,banking / financial / real estate,"doesn't have kids, but might want them",FALSE,straight,other,NA,female,sagittarius,it's fun to think about,no,english,single,FALSE,FALSE,TRUE,TRUE
28,fit,anything,mostly,socially,never,college/university,graduated from,white,72,80000,entertainment / media,NA,NA,straight,judaism,laughing,male,aries,it's fun to think about,no,english (fluently),single,FALSE,FALSE,TRUE,FALSE
49,fit,anything,mostly,socially,NA,ph.d program,graduated from,white,64,150000,medicine / health,has a kid,TRUE,straight,other,not too serious,female,NA,NA,no,english,single,NA,NA,NA,NA
23,athletic,anything,NA,socially,sometimes,college/university,graduated from,asian,69,NA,banking / financial / real estate,doesn't have kids,FALSE,straight,agnosticism,not too serious,male,capricorn,it's fun to think about,no,"english (fluently), vietnamese (fluently)",single,FALSE,FALSE,TRUE,FALSE
52,fit,other,mostly,rarely,never,NA,NA,white,71,NA,NA,NA,NA,gay,NA,NA,male,NA,NA,no,english,single,NA,NA,NA,NA
54,athletic,anything,mostly,socially,sometimes,high school,graduated from,white,70,80000,sales / marketing / biz dev,"has kids, but doesn't want more",TRUE,straight,christianity,not too serious,male,libra,it doesn't matter,no,english,single,TRUE,FALSE,TRUE,NA
36,average,anything,mostly,socially,NA,college/university,graduated from,white,64,NA,sales / marketing / biz dev,NA,NA,straight,other,not too serious,female,scorpio,it's fun to think about,no,english,single,TRUE,FALSE,TRUE,NA
37,athletic,NA,NA,socially,NA,college/university,graduated from,"asian, other",66,NA,medicine / health,NA,NA,straight,atheism,not too serious,male,libra,it's fun to think about,no,"english (fluently), vietnamese (okay), spanish (okay)",single,FALSE,TRUE,TRUE,TRUE
