coin,heads
Regular coin (a nickel),7
Regular coin (a nickel),11
CIRCLE furniture mover thingy,11
Regular coin (a nickel),8
Regular coin (a nickel),11
Regular coin (a nickel),10
Regular coin (a nickel),9
SQUARE furniture mover thingy,15
Regular coin (a nickel),7
Regular coin (a nickel),9
Regular coin (a nickel),1
Regular coin (a nickel),12
Regular coin (a nickel),15
Regular coin (a nickel),13
Regular coin (a nickel),10
Regular coin (a nickel),7
Regular coin (a nickel),14
Regular coin (a nickel),13
Regular coin (a nickel),9
Regular coin (a nickel),9
Regular coin (a nickel),11
